Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-15-00000318-50-26.12.31-SECD-23FF45EE;00000318;;;;;;
M-15-00000319-50-26.12.31-SECD-23FF45EE;00000319;;;;;;
M-15-00000320-50-26.12.31-SECD-23FF45EE;00000320;;;;;;
M-15-00000321-50-26.12.31-SECD-23FF45EE;00000321;;;;;;
M-15-00000322-50-26.12.31-SECD-23FF45EE;00000322;;;;;;
M-15-00000323-50-26.12.31-SECD-23FF45EE;00000323;;;;;;
M-15-00000324-50-26.12.31-SECD-23FF45EE;00000324;;;;;;
M-15-00000325-50-26.12.31-SECD-23FF45EE;00000325;;;;;;
M-15-00000326-50-26.12.31-SECD-23FF45EE;00000326;;;;;;
M-15-00000327-50-26.12.31-SECD-23FF45EE;00000327;;;;;;
M-15-00000328-50-26.12.31-SECD-23FF45EE;00000328;;;;;;
M-15-00000329-50-26.12.31-SECD-23FF45EE;00000329;;;;;;
M-15-00000330-50-26.12.31-SECD-23FF45EE;00000330;;;;;;
M-15-00000331-50-26.12.31-SECD-23FF45EE;00000331;;;;;;
M-15-00000332-50-26.12.31-SECD-23FF45EE;00000332;;;;;;
M-15-00000333-50-26.12.31-SECD-23FF45EE;00000333;;;;;;
M-15-00000334-50-26.12.31-SECD-23FF45EE;00000334;;;;;;
M-15-00000335-50-26.12.31-SECD-23FF45EE;00000335;;;;;;
M-15-00000336-50-26.12.31-SECD-23FF45EE;00000336;;;;;;
M-15-00000337-50-26.12.31-SECD-23FF45EE;00000337;;;;;;
M-15-00000338-50-26.12.31-SECD-23FF45EE;00000338;;;;;;
M-15-00000339-50-26.12.31-SECD-23FF45EE;00000339;;;;;;
M-15-00000340-50-26.12.31-SECD-23FF45EE;00000340;;;;;;
M-15-00000341-50-26.12.31-SECD-23FF45EE;00000341;;;;;;
M-15-00000342-50-26.12.31-SECD-23FF45EE;00000342;;;;;;
M-15-00000343-50-26.12.31-SECD-23FF45EE;00000343;;;;;;
M-15-00000344-50-26.12.31-SECD-23FF45EE;00000344;;;;;;
M-15-00000345-50-26.12.31-SECD-23FF45EE;00000345;;;;;;
M-15-00000346-50-26.12.31-SECD-23FF45EE;00000346;;;;;;
M-15-00000347-50-26.12.31-SECD-23FF45EE;00000347;;;;;;
M-15-00000348-50-26.12.31-SECD-23FF45EE;00000348;;;;;;
M-15-00000349-50-26.12.31-SECD-23FF45EE;00000349;;;;;;
M-15-00000350-50-26.12.31-SECD-23FF45EE;00000350;;;;;;
M-15-00000351-50-26.12.31-SECD-23FF45EE;00000351;;;;;;
